ALIM_CODE;FOOD_LABEL;nrj_kj;nrj_kcal;eau_g;sel_g;sodium_mg;magnesium_mg;phosphore_mg;potassium_mg;calcium_mg;manganese_mg;fer_mg;cuivre_mg;zinc_mg;selenium_mcg;iode_mcg;proteines_g;glucides_g;sucres_g;fructose_g;galactose_g;glucose_g;lactose_g;maltose_g;saccharose_g;amidon_g;polyols_g;fibres_g;lipides_g;ags_g;agmi_g;agpi_g;ag_04_0_g;ag_06_0_g;ag_08_0_g;ag_10_0_g;ag_12_0_g;ag_14_0_g;ag_16_0_g;ag_18_0_g;ag_18_1_ole_g;ag_18_2_lino_g;ag_18_3_a_lino_g;ag_20_4_ara_g;ag_20_5_epa_g;ag_20_6_dha_g;retinol_mcg;beta_carotene_mcg;vitamine_d_mcg;vitamine_e_mg;vitamine_k1_mcg;vitamine_k2_mcg;vitamine_c_mg;vitamine_b1_mg;vitamine_b2_mg;vitamine_b3_mg;vitamine_b5_mg;vitamine_b6_mg;vitamine_b12_mcg;vitamine_b9_mcg;alcool_g;acides_organiques_g;cholesterol_mg
20026;Endive, crue;84.8;20.2;94.3;0.0063;2.5;8.3;23;150;20;0.08;0.12;0.04;0.13;10;10;1.19;2.83;2.4;0.9;0;1.5;0.1;0.1;0.1;0.18;0.25;1.1;0.25;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0;2.5;0;0.04;0.4;0;2.12;0.067;0.005;0.21;0.15;0.026;0;25.6;0;0.02;0
20028;Fenouil, cru;90.9;21.8;92.9;0.055;22;11;28;320;37;0.1;0.2;0.08;0.19;10;10;1;2.63;2.2;1;0;1.2;0.1;0.1;0.1;0.18;0.25;2.6;0.25;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0;8.01;0;0.04;62.8;0;2.57;0.0075;0.005;0.05;0.22;0.05;0;19.6;0;0.071;0
20029;"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté";82.9;19.7;95.8;0.35;141;7.53;26;31.5;13.4;0.039;0.26;0.047;0.11;5;2.55;1.56;2.36;1.78;0.6;0.098;0.64;0.098;0.098;0.25;0.4;0.18;1.63;0.12;0.058;0.008;0.02;0;0;0;0;0;0;0.011;0.003;0.004;0.012;0.004;0.002;0;0;0;2;0;0.065;13.4;0;0.65;0.025;0.05;0.21;0.14;0.031;0;26;0;0;0
20031;Laitue, crue;61.7;14.7;95.3;0.021;8.47;14.9;29.5;200;64.6;0.4;0.98;0.036;0.2;2.33;1.22;1.3;1.33;0.73;0.4;0;0.33;0;0;0;0;0.25;1.2;0.2;0.021;0.0067;0.085;0;0;0;0;0;0;0.018;0.0021;0.005;0.023;0.056;0;0;0;0;3640;0;0.18;123;0;11.8;0.067;0.077;0.36;0.14;0.09;0;43.5;0;0.13;0
20034;Oignon, cru;162;38.6;89.6;0.098;39;9;37;190;25;0.1;0.00019;0.00005;0.23;2.3;5;1.1;6.25;4.8;1.7;0;1.6;0.25;0.25;1.5;0.25;0.25;1.7;0.62;0.2;0.021;0.066;0;0;0;0;0.002;0.002;0.14;0.029;0.021;0.062;0.0031;0;0;0;0;25;0;0.045;0.35;0;3.9;0.025;0.025;0.025;0.15;0.1;0;29.6;0;0.21;0
20036;Petits pois, appertisés, égouttés;342;81.5;79.5;0.64;257;16.3;73.1;71.5;20.6;0.17;1.29;0.079;0.42;1.68;0.9;5.12;10.7;3.59;0.05;0.14;0.17;0;0.04;2.6;4.04;0.29;5.75;0.8;0.15;0.066;0.41;0;0;0;0;0;0;0.13;0.015;0.061;0.34;0.07;0;0;0;0;514;0;0.21;53.4;0;6.9;0.12;0.059;0.89;0.2;0.053;0;26.5;0;0;0
20039;Poireau, cru;136;32.3;87.6;0.036;14.5;19;40.3;208;50.7;0.34;1.5;0.087;0.21;0.56;1.1;1.49;4.9;3.15;0.67;0;0.65;0;0.075;0.53;0.18;0.056;2.27;0.25;0.05;0.007;0.14;0;0;0;0;0;0;0.048;0.0023;0.007;0.11;0.03;1.3E-17;0;0;0;1000;0;0.74;47;0;18.5;0.065;0.065;0.5;0.13;0.24;0;73;0;0;0
20041;Poivron, vert, jaune ou rouge, cru;111;26.4;92.1;0.021;8.4;11.9;22.5;155;7.7;0.1;0.4;0.05;0.13;0.1;2.5;0.8;4.55;2.7;0.79;0;0.7;0.1;0.1;0.1;0.25;0.25;1.5;0.27;0.071;0.02;0.16;0;0;0;0;0.0011;0.0043;0.043;0.014;0.011;0.091;0.026;0.000033;0;0;1;834;0.25;1.44;4.86;0;121;0.041;0.041;0.74;0.12;0.38;0;40.7;0;0;0
20045;Radis rouge, cru;60.7;14.5;95.5;0.04;16;6.2;20;250;15;0.04;0.4;0.005;0.08;10;10;0.94;1.53;1.1;0.4;0;0.7;0.1;0.1;0.1;0.18;0.25;1.4;0.25;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0;2.5;0;0.04;0.4;0;12.2;0.0075;0.005;0.05;0.09;0.063;0;95.4;0;0.01;0
20047;Tomate, crue;81.1;19.3;94.1;0.0081;3.22;10.1;26.6;256;8.14;0.066;0.12;0.029;0.087;5;0.2;0.86;2.49;2.48;1.4;0;1.08;0;0;0;0;0.013;1.2;0.26;0.056;0.035;0.12;0;0;0;0;0.00016;0.00073;0.041;0.011;0.035;0.093;0.0086;0;0;0;0;449;0;0.66;7.9;0;15.5;0.039;0.019;0.65;0.21;0.082;0;22.7;0;0.39;0
